job,marital,h_loan,p_loan,month,day_of_week,poutcome
technician,single,yes,no,aug,tue,nonexistent
retired,married,yes,no,aug,tue,nonexistent
entrepreneur,married,no,no,aug,tue,nonexistent
entrepreneur,married,yes,no,aug,tue,nonexistent
technician,divorced,yes,no,aug,tue,nonexistent
admin.,married,no,yes,aug,tue,nonexistent
blue-collar,married,no,no,aug,tue,nonexistent
admin.,single,yes,no,aug,tue,nonexistent
retired,married,no,no,aug,tue,nonexistent
admin.,married,no,no,aug,tue,nonexistent
services,married,no,no,aug,tue,nonexistent
admin.,married,yes,yes,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
technician,single,yes,no,aug,tue,nonexistent
technician,divorced,no,no,aug,tue,nonexistent
technician,divorced,no,yes,aug,tue,nonexistent
admin.,married,no,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
admin.,married,no,no,aug,tue,nonexistent
technician,divorced,no,yes,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
technician,divorced,no,no,aug,tue,nonexistent
blue-collar,married,yes,no,aug,tue,nonexistent
technician,divorced,no,no,aug,tue,nonexistent
technician,divorced,no,no,aug,tue,nonexistent
services,married,yes,no,aug,tue,nonexistent
technician,married,no,no,aug,tue,nonexistent
admin.,single,yes,no,aug,tue,nonexistent
housemaid,married,yes,no,aug,tue,nonexistent
housemaid,married,no,no,aug,tue,nonexistent
housemaid,married,no,no,aug,tue,nonexistent
admin.,single,yes,no,aug,tue,nonexistent
technician,married,no,no,aug,tue,nonexistent
blue-collar,married,yes,no,aug,tue,nonexistent
admin.,single,no,no,aug,tue,nonexistent
blue-collar,married,no,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
management,married,no,no,aug,tue,nonexistent
technician,divorced,yes,no,aug,tue,nonexistent
retired,married,yes,no,aug,tue,nonexistent
technician,married,yes,no,aug,tue,nonexistent
technician,single,yes,no,aug,tue,nonexistent
technician,married,yes,no,aug,tue,nonexistent
technician,married,yes,no,aug,tue,nonexistent
admin.,married,yes,yes,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
management,married,no,no,aug,tue,nonexistent
management,married,no,no,aug,tue,nonexistent
technician,married,yes,yes,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
admin.,married,no,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
technician,divorced,no,no,aug,tue,nonexistent
technician,single,yes,no,aug,tue,nonexistent
technician,single,no,no,aug,tue,nonexistent
technician,married,yes,no,aug,tue,nonexistent
management,married,yes,no,aug,tue,nonexistent
technician,married,yes,no,aug,tue,nonexistent
technician,married,no,no,aug,tue,nonexistent
blue-collar,married,yes,no,aug,tue,nonexistent
services,married,yes,no,aug,tue,nonexistent
blue-collar,married,yes,no,aug,tue,nonexistent
blue-collar,married,yes,no,aug,tue,nonexistent
technician,married,yes,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
technician,married,no,no,aug,tue,nonexistent
technician,married,no,no,aug,tue,nonexistent
retired,married,yes,no,aug,tue,nonexistent
admin.,single,yes,no,aug,tue,nonexistent
technician,married,yes,no,aug,tue,nonexistent
blue-collar,married,no,no,aug,tue,nonexistent
blue-collar,married,yes,no,aug,tue,nonexistent
self-employed,married,yes,no,aug,tue,nonexistent
admin.,married,yes,yes,aug,tue,nonexistent
technician,married,no,no,aug,tue,nonexistent
technician,married,yes,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
services,divorced,yes,no,aug,tue,nonexistent
technician,married,yes,no,aug,tue,nonexistent
technician,married,yes,no,aug,tue,nonexistent
blue-collar,married,no,no,aug,tue,nonexistent
admin.,married,yes,yes,aug,tue,nonexistent
technician,divorced,yes,no,aug,tue,nonexistent
technician,married,no,no,aug,tue,nonexistent
admin.,married,yes,yes,aug,tue,nonexistent
blue-collar,married,yes,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
technician,divorced,yes,no,aug,tue,nonexistent
admin.,single,yes,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
housemaid,married,no,no,aug,tue,nonexistent
technician,single,no,no,aug,tue,nonexistent
technician,single,yes,no,aug,tue,nonexistent
blue-collar,married,yes,no,aug,tue,nonexistent
technician,married,yes,no,aug,tue,nonexistent
admin.,divorced,no,no,aug,tue,nonexistent
blue-collar,married,no,no,aug,tue,nonexistent
technician,married,yes,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
admin.,married,no,yes,aug,tue,nonexistent
technician,married,yes,no,aug,tue,nonexistent
services,divorced,yes,no,aug,tue,nonexistent
technician,single,yes,no,aug,tue,nonexistent
blue-collar,married,yes,no,aug,tue,nonexistent
technician,single,yes,no,aug,tue,nonexistent
technician,married,no,no,aug,tue,nonexistent
technician,single,no,no,aug,tue,nonexistent
services,married,no,no,aug,tue,nonexistent
admin.,single,no,no,aug,tue,nonexistent
technician,married,yes,no,aug,tue,nonexistent
services,married,yes,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
technician,divorced,yes,no,aug,tue,nonexistent
admin.,married,no,yes,aug,tue,nonexistent
admin.,divorced,yes,no,aug,tue,nonexistent
admin.,married,no,no,aug,tue,nonexistent
admin.,married,no,no,aug,tue,nonexistent
admin.,married,no,no,aug,tue,nonexistent
technician,married,yes,no,aug,tue,nonexistent
admin.,married,no,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
admin.,divorced,yes,no,aug,tue,nonexistent
blue-collar,married,yes,yes,aug,tue,nonexistent
management,married,no,no,aug,tue,nonexistent
management,married,yes,no,aug,tue,nonexistent
blue-collar,married,yes,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
admin.,single,no,no,aug,tue,nonexistent
technician,married,no,yes,aug,tue,nonexistent
technician,married,no,no,aug,tue,nonexistent
technician,single,yes,no,aug,tue,nonexistent
housemaid,married,yes,yes,aug,tue,nonexistent
unemployed,divorced,no,no,aug,tue,nonexistent
technician,married,no,no,aug,tue,nonexistent
unemployed,married,yes,no,aug,tue,nonexistent
admin.,married,no,no,aug,tue,nonexistent
housemaid,married,no,no,aug,tue,nonexistent
admin.,married,no,no,aug,tue,nonexistent
admin.,married,no,no,aug,tue,nonexistent
technician,divorced,no,no,aug,tue,nonexistent
blue-collar,married,no,no,aug,tue,nonexistent
self-employed,married,no,no,aug,tue,nonexistent
blue-collar,married,no,no,aug,tue,nonexistent
services,married,no,no,aug,tue,nonexistent
services,married,no,no,aug,tue,nonexistent
services,married,yes,no,aug,tue,nonexistent
self-employed,married,no,no,aug,tue,nonexistent
technician,divorced,no,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
technician,divorced,no,no,aug,tue,nonexistent
admin.,married,no,no,aug,tue,nonexistent
admin.,single,no,no,aug,tue,nonexistent
admin.,married,no,yes,aug,tue,nonexistent
technician,married,yes,yes,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
technician,married,yes,no,aug,tue,nonexistent
technician,married,no,no,aug,tue,nonexistent
entrepreneur,married,no,no,aug,tue,nonexistent
technician,married,no,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
admin.,married,no,yes,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
admin.,divorced,yes,yes,aug,tue,nonexistent
technician,single,no,no,aug,tue,nonexistent
blue-collar,married,no,no,aug,tue,nonexistent
admin.,single,yes,no,aug,tue,nonexistent
admin.,married,yes,yes,aug,tue,nonexistent
housemaid,married,yes,no,aug,tue,nonexistent
management,married,yes,no,aug,tue,nonexistent
admin.,single,no,no,aug,tue,nonexistent
blue-collar,married,no,yes,aug,tue,nonexistent
technician,married,no,no,aug,tue,nonexistent
admin.,married,no,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
housemaid,married,yes,no,aug,tue,nonexistent
admin.,married,no,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
housemaid,married,yes,yes,aug,tue,nonexistent
technician,married,yes,no,aug,tue,nonexistent
blue-collar,married,yes,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
blue-collar,married,yes,no,aug,tue,nonexistent
admin.,married,yes,no,aug,tue,nonexistent
blue-collar,married,yes,no,aug,tue,nonexistent
blue-collar,married,yes,no,aug,wed,nonexistent
retired,married,no,no,aug,wed,nonexistent
technician,divorced,yes,no,aug,wed,nonexistent
self-employed,married,yes,no,aug,wed,nonexistent
admin.,married,yes,no,aug,wed,nonexistent
admin.,married,no,no,aug,wed,nonexistent
housemaid,single,yes,no,aug,wed,nonexistent
blue-collar,married,yes,no,aug,wed,nonexistent
admin.,married,yes,no,aug,wed,nonexistent
admin.,married,yes,yes,aug,wed,nonexistent
technician,single,yes,yes,aug,wed,nonexistent
admin.,divorced,yes,no,aug,wed,nonexistent
technician,single,no,no,aug,wed,nonexistent
technician,married,yes,no,aug,wed,nonexistent
blue-collar,divorced,yes,no,aug,wed,nonexistent
retired,married,yes,yes,aug,wed,nonexistent
services,married,yes,no,aug,wed,nonexistent
technician,single,no,no,aug,wed,nonexistent
housemaid,married,no,no,aug,wed,nonexistent
blue-collar,married,yes,no,aug,wed,nonexistent
management,married,no,no,aug,wed,nonexistent
admin.,married,no,no,aug,wed,nonexistent
management,married,no,yes,aug,wed,nonexistent
management,married,no,no,aug,wed,nonexistent
technician,married,no,yes,aug,wed,nonexistent
self-employed,married,no,no,aug,wed,nonexistent
technician,married,no,no,aug,wed,nonexistent
admin.,single,yes,no,aug,wed,nonexistent
admin.,single,yes,yes,aug,wed,nonexistent
admin.,single,no,no,aug,wed,nonexistent
blue-collar,married,yes,no,aug,wed,nonexistent
services,married,yes,no,aug,wed,nonexistent
admin.,married,no,no,aug,wed,nonexistent
technician,married,yes,no,aug,wed,nonexistent
admin.,married,yes,no,aug,wed,nonexistent
technician,single,no,no,aug,wed,nonexistent
management,married,yes,no,aug,wed,nonexistent
admin.,single,no,no,aug,wed,nonexistent
technician,single,yes,no,aug,wed,nonexistent
technician,single,no,no,aug,wed,nonexistent
technician,married,no,no,aug,wed,nonexistent
blue-collar,married,no,no,aug,wed,nonexistent
admin.,married,yes,no,aug,wed,nonexistent
blue-collar,married,yes,no,aug,wed,nonexistent
services,married,yes,yes,aug,wed,nonexistent
blue-collar,married,yes,yes,aug,wed,nonexistent
admin.,single,yes,no,aug,wed,nonexistent
housemaid,married,yes,no,aug,wed,nonexistent
admin.,divorced,yes,no,aug,wed,nonexistent
housemaid,married,yes,no,aug,wed,nonexistent
technician,married,yes,yes,aug,wed,nonexistent
unemployed,married,yes,no,aug,wed,nonexistent
technician,single,no,no,aug,wed,nonexistent
blue-collar,married,yes,no,aug,wed,nonexistent
admin.,single,yes,no,aug,wed,nonexistent
technician,single,yes,no,aug,wed,nonexistent
technician,single,no,no,aug,wed,nonexistent
admin.,married,no,no,aug,wed,nonexistent
technician,single,yes,yes,aug,wed,nonexistent
technician,single,yes,yes,aug,wed,nonexistent
blue-collar,single,no,no,aug,wed,nonexistent
admin.,married,yes,no,aug,wed,nonexistent
admin.,single,yes,yes,aug,wed,nonexistent
admin.,single,no,no,aug,wed,nonexistent
unemployed,married,yes,no,aug,wed,nonexistent
self-employed,married,yes,yes,aug,wed,nonexistent
technician,married,yes,no,aug,wed,nonexistent
technician,single,yes,no,aug,wed,nonexistent
admin.,single,yes,no,aug,wed,nonexistent
technician,single,yes,no,aug,wed,nonexistent
self-employed,married,yes,yes,aug,wed,nonexistent
technician,married,no,no,aug,wed,nonexistent
technician,married,no,no,aug,wed,nonexistent
technician,married,no,no,aug,wed,nonexistent
admin.,divorced,yes,yes,aug,wed,nonexistent
admin.,divorced,no,yes,aug,wed,nonexistent
technician,married,no,yes,aug,wed,nonexistent
admin.,married,no,no,aug,wed,nonexistent
technician,divorced,yes,yes,aug,wed,nonexistent
admin.,divorced,no,no,aug,wed,nonexistent
admin.,divorced,no,yes,aug,wed,nonexistent
technician,married,no,no,aug,wed,nonexistent
technician,single,yes,no,aug,wed,nonexistent
blue-collar,married,no,no,aug,wed,nonexistent
technician,married,no,no,aug,wed,nonexistent
technician,single,yes,yes,aug,wed,nonexistent
technician,married,no,no,aug,wed,nonexistent
technician,single,yes,yes,aug,wed,nonexistent
technician,married,yes,yes,aug,wed,nonexistent
admin.,married,yes,no,aug,wed,nonexistent
technician,married,no,no,aug,wed,nonexistent
admin.,married,yes,no,aug,wed,nonexistent
management,married,yes,yes,aug,wed,nonexistent
admin.,single,yes,no,aug,wed,nonexistent
blue-collar,married,no,no,aug,wed,nonexistent
technician,married,no,no,aug,wed,nonexistent
admin.,single,no,yes,aug,wed,nonexistent
admin.,single,yes,no,aug,wed,nonexistent
technician,single,no,no,aug,wed,nonexistent
admin.,married,yes,yes,aug,wed,nonexistent
admin.,married,yes,no,aug,wed,nonexistent
technician,married,yes,no,aug,wed,nonexistent
technician,married,yes,no,aug,wed,nonexistent
admin.,divorced,yes,no,aug,wed,nonexistent
unemployed,married,yes,yes,aug,wed,nonexistent
admin.,single,yes,no,aug,wed,nonexistent
technician,married,yes,no,aug,wed,nonexistent
blue-collar,married,yes,no,aug,wed,nonexistent
technician,single,no,no,aug,wed,nonexistent
admin.,single,yes,no,aug,wed,nonexistent
admin.,single,no,no,aug,wed,nonexistent
admin.,single,no,no,aug,wed,nonexistent
technician,married,no,yes,aug,wed,nonexistent
admin.,married,yes,no,aug,wed,nonexistent
blue-collar,married,yes,no,aug,wed,nonexistent
housemaid,married,no,no,aug,wed,nonexistent
admin.,married,yes,no,aug,wed,nonexistent
technician,single,yes,no,aug,wed,nonexistent
admin.,married,no,no,aug,wed,nonexistent
technician,single,no,no,aug,wed,nonexistent
blue-collar,married,yes,no,aug,wed,nonexistent
technician,married,no,no,aug,wed,nonexistent
admin.,divorced,yes,no,aug,wed,nonexistent
admin.,married,no,no,aug,wed,nonexistent
admin.,single,yes,no,aug,wed,nonexistent
retired,married,no,no,aug,wed,nonexistent
technician,married,yes,no,aug,wed,nonexistent
technician,married,yes,no,aug,wed,nonexistent
admin.,married,no,no,aug,wed,nonexistent
blue-collar,married,no,no,aug,wed,nonexistent
retired,married,yes,yes,aug,wed,nonexistent
housemaid,married,yes,no,aug,wed,nonexistent
blue-collar,divorced,yes,no,aug,wed,nonexistent
unemployed,married,yes,no,aug,wed,nonexistent
blue-collar,married,no,no,aug,wed,nonexistent
technician,single,yes,no,aug,wed,nonexistent
technician,single,yes,no,aug,wed,nonexistent
technician,single,yes,no,aug,wed,nonexistent
technician,single,yes,no,aug,wed,nonexistent
technician,single,yes,no,aug,wed,nonexistent
technician,married,yes,no,aug,wed,nonexistent
blue-collar,married,yes,no,aug,wed,nonexistent
technician,single,no,no,aug,wed,nonexistent
admin.,single,yes,no,aug,wed,nonexistent
technician,divorced,yes,yes,aug,wed,nonexistent
admin.,married,yes,no,aug,wed,nonexistent
admin.,married,no,no,aug,wed,nonexistent
technician,single,no,no,aug,wed,nonexistent
technician,single,yes,no,aug,wed,nonexistent
technician,single,yes,yes,aug,wed,nonexistent
retired,married,yes,no,aug,wed,nonexistent
technician,single,yes,no,aug,wed,nonexistent
admin.,married,yes,no,aug,wed,nonexistent
blue-collar,married,no,no,aug,wed,nonexistent
technician,single,yes,no,aug,wed,nonexistent
admin.,divorced,no,no,aug,wed,nonexistent
entrepreneur,married,no,no,aug,wed,nonexistent
entrepreneur,married,no,no,aug,wed,nonexistent
retired,married,yes,no,aug,wed,nonexistent
admin.,married,no,no,aug,wed,nonexistent
retired,married,yes,no,aug,wed,nonexistent
admin.,divorced,no,no,aug,wed,nonexistent
technician,married,yes,no,aug,wed,nonexistent
blue-collar,married,no,no,aug,wed,nonexistent
retired,married,yes,no,aug,wed,nonexistent
blue-collar,married,no,no,aug,wed,nonexistent
admin.,married,yes,no,aug,wed,nonexistent
blue-collar,married,no,no,aug,wed,nonexistent
blue-collar,married,no,no,aug,wed,nonexistent
blue-collar,married,yes,no,aug,wed,nonexistent
management,married,no,no,aug,wed,nonexistent
blue-collar,married,no,no,aug,wed,nonexistent
blue-collar,married,yes,no,aug,wed,nonexistent
technician,married,no,no,aug,wed,nonexistent
admin.,married,no,yes,aug,wed,nonexistent
admin.,single,yes,no,aug,wed,nonexistent
retired,married,yes,no,aug,wed,nonexistent
technician,single,yes,no,aug,wed,nonexistent
technician,married,no,no,aug,wed,nonexistent
housemaid,married,no,no,aug,wed,nonexistent
technician,married,yes,no,aug,wed,nonexistent
blue-collar,married,yes,no,aug,wed,nonexistent
blue-collar,married,yes,no,aug,wed,nonexistent
admin.,married,no,no,aug,wed,nonexistent
technician,married,yes,yes,aug,wed,nonexistent
technician,married,no,no,aug,wed,nonexistent
self-employed,married,yes,no,aug,wed,nonexistent
admin.,married,no,no,aug,wed,nonexistent
technician,divorced,yes,no,aug,wed,nonexistent
blue-collar,married,yes,yes,aug,wed,nonexistent
technician,married,no,no,aug,wed,nonexistent
admin.,married,yes,no,aug,wed,nonexistent
admin.,single,yes,yes,aug,wed,nonexistent
management,married,no,no,aug,wed,nonexistent
admin.,married,no,no,aug,wed,nonexistent
admin.,single,yes,no,aug,wed,nonexistent
technician,single,no,yes,aug,wed,nonexistent
admin.,single,yes,no,aug,wed,nonexistent
management,married,yes,no,aug,wed,nonexistent
admin.,single,yes,no,aug,wed,nonexistent
admin.,single,no,no,aug,wed,nonexistent
admin.,divorced,yes,yes,aug,wed,nonexistent
technician,single,no,no,aug,wed,nonexistent
blue-collar,married,yes,no,aug,wed,nonexistent
technician,married,no,no,aug,wed,nonexistent
admin.,single,no,no,aug,wed,nonexistent
admin.,married,yes,no,aug,wed,nonexistent
management,married,yes,no,aug,wed,nonexistent
entrepreneur,married,no,no,aug,wed,nonexistent
management,married,yes,no,aug,wed,nonexistent
admin.,single,yes,no,aug,wed,nonexistent
admin.,married,no,no,aug,wed,nonexistent
admin.,married,no,no,aug,wed,nonexistent
admin.,married,yes,no,aug,wed,nonexistent
management,married,no,no,aug,wed,nonexistent
technician,married,no,no,aug,wed,nonexistent
retired,married,yes,no,aug,wed,nonexistent
technician,single,yes,no,aug,wed,nonexistent
admin.,married,yes,no,aug,wed,nonexistent
admin.,single,no,no,aug,wed,nonexistent
blue-collar,married,no,no,aug,wed,nonexistent
admin.,single,yes,yes,aug,wed,nonexistent
retired,married,no,no,aug,wed,nonexistent
admin.,married,no,no,aug,wed,nonexistent
admin.,divorced,no,no,aug,wed,nonexistent
technician,single,no,no,aug,wed,nonexistent
retired,married,no,no,aug,wed,nonexistent
technician,married,yes,no,aug,wed,nonexistent
technician,married,yes,yes,aug,wed,nonexistent
blue-collar,married,no,no,aug,wed,nonexistent
self-employed,married,yes,no,aug,wed,nonexistent
admin.,single,yes,yes,aug,wed,nonexistent
admin.,married,no,no,aug,wed,nonexistent
services,married,no,yes,aug,wed,nonexistent
admin.,single,yes,no,aug,wed,nonexistent
technician,single,yes,yes,aug,wed,nonexistent
technician,married,yes,yes,aug,wed,nonexistent
admin.,single,yes,no,aug,wed,nonexistent
management,married,yes,no,aug,wed,nonexistent
admin.,married,no,no,aug,wed,nonexistent
admin.,single,no,no,aug,wed,nonexistent
management,married,no,yes,aug,wed,nonexistent
entrepreneur,married,no,no,aug,wed,nonexistent
self-employed,single,yes,yes,aug,wed,nonexistent
technician,married,yes,yes,aug,wed,nonexistent
management,married,yes,yes,aug,wed,nonexistent
housemaid,married,yes,no,aug,wed,nonexistent
technician,single,yes,yes,aug,wed,nonexistent
blue-collar,married,yes,yes,aug,wed,nonexistent
technician,married,yes,yes,aug,wed,nonexistent
admin.,single,no,yes,aug,wed,nonexistent
management,married,yes,yes,aug,wed,nonexistent
technician,married,yes,yes,aug,thu,nonexistent
technician,married,yes,no,aug,thu,nonexistent
technician,divorced,no,no,aug,thu,nonexistent
unemployed,married,no,no,aug,thu,nonexistent
admin.,married,yes,yes,aug,thu,nonexistent
technician,married,no,no,aug,thu,nonexistent
technician,married,yes,yes,aug,thu,nonexistent
technician,married,no,no,aug,thu,nonexistent
technician,single,yes,yes,aug,thu,nonexistent
admin.,married,no,no,aug,thu,nonexistent
admin.,married,yes,no,aug,thu,nonexistent
technician,divorced,yes,no,aug,thu,nonexistent
technician,married,yes,no,aug,thu,nonexistent
blue-collar,married,no,no,aug,thu,nonexistent
technician,single,no,no,aug,thu,nonexistent
technician,single,yes,no,aug,thu,nonexistent
technician,single,no,no,aug,thu,nonexistent
technician,married,yes,no,aug,thu,nonexistent
blue-collar,married,yes,no,aug,thu,nonexistent
technician,married,yes,no,aug,thu,nonexistent
technician,married,no,yes,aug,thu,nonexistent
technician,married,yes,no,aug,thu,nonexistent
technician,single,yes,no,aug,thu,nonexistent
technician,married,yes,no,aug,thu,nonexistent
technician,single,yes,no,aug,thu,nonexistent
technician,single,yes,no,aug,thu,nonexistent
technician,single,no,no,aug,thu,nonexistent
admin.,single,yes,yes,aug,thu,nonexistent
technician,married,no,no,aug,thu,nonexistent
technician,single,no,no,aug,thu,nonexistent
technician,single,no,no,aug,thu,nonexistent
admin.,married,no,no,aug,thu,nonexistent
admin.,married,no,no,aug,thu,nonexistent
technician,single,yes,no,aug,thu,nonexistent
admin.,married,no,no,aug,thu,nonexistent
housemaid,married,no,yes,aug,thu,nonexistent
student,single,no,no,aug,thu,nonexistent
admin.,married,no,no,aug,thu,nonexistent
blue-collar,married,no,no,aug,thu,nonexistent
technician,single,yes,no,aug,thu,nonexistent
blue-collar,married,yes,no,aug,thu,nonexistent
admin.,married,no,no,aug,thu,nonexistent
blue-collar,married,no,no,aug,thu,nonexistent
blue-collar,married,yes,no,aug,thu,nonexistent
technician,married,yes,no,aug,thu,nonexistent
services,single,yes,no,aug,thu,nonexistent
blue-collar,married,no,no,aug,thu,nonexistent
student,single,yes,yes,aug,thu,nonexistent
self-employed,married,no,yes,aug,thu,nonexistent
blue-collar,married,yes,no,aug,thu,nonexistent
admin.,married,no,no,aug,thu,nonexistent
blue-collar,married,no,yes,aug,thu,nonexistent
blue-collar,married,no,yes,aug,thu,nonexistent
technician,married,yes,yes,aug,thu,nonexistent
blue-collar,married,yes,no,aug,thu,nonexistent
technician,single,no,no,aug,thu,nonexistent
technician,married,yes,no,aug,thu,nonexistent
technician,single,yes,no,aug,thu,nonexistent
technician,single,yes,no,aug,thu,nonexistent
self-employed,married,yes,no,aug,thu,nonexistent
technician,single,yes,yes,aug,thu,nonexistent
admin.,single,yes,yes,aug,thu,nonexistent
technician,single,yes,yes,aug,thu,nonexistent
technician,single,no,no,aug,thu,nonexistent
blue-collar,married,yes,no,aug,thu,nonexistent
technician,single,no,no,aug,thu,nonexistent
technician,married,yes,no,aug,thu,nonexistent
admin.,married,yes,no,aug,thu,nonexistent
technician,single,yes,no,aug,thu,nonexistent
technician,married,no,no,aug,thu,nonexistent
admin.,married,yes,yes,aug,thu,nonexistent
admin.,single,yes,no,aug,thu,nonexistent
blue-collar,married,yes,no,aug,thu,nonexistent
admin.,married,yes,yes,aug,thu,nonexistent
blue-collar,married,no,no,aug,thu,nonexistent
housemaid,married,yes,yes,aug,thu,nonexistent
admin.,married,no,no,aug,thu,nonexistent
retired,married,yes,no,aug,thu,nonexistent
admin.,single,no,yes,aug,thu,nonexistent
admin.,married,no,yes,aug,thu,nonexistent
admin.,single,yes,yes,aug,thu,nonexistent
admin.,divorced,yes,no,aug,thu,nonexistent
services,single,yes,no,aug,thu,nonexistent
admin.,divorced,yes,no,aug,thu,nonexistent
admin.,divorced,no,no,aug,thu,nonexistent
retired,married,no,no,aug,thu,nonexistent
retired,married,yes,yes,aug,thu,nonexistent
technician,divorced,yes,yes,aug,thu,nonexistent
technician,married,no,yes,aug,thu,nonexistent
blue-collar,married,yes,no,aug,thu,nonexistent
technician,divorced,no,no,aug,thu,nonexistent
technician,divorced,yes,no,aug,thu,nonexistent
technician,divorced,no,no,aug,thu,nonexistent
housemaid,divorced,yes,no,aug,thu,nonexistent
admin.,single,no,yes,aug,thu,nonexistent
admin.,single,yes,no,aug,thu,nonexistent
technician,single,no,no,aug,thu,nonexistent
management,married,yes,yes,aug,thu,nonexistent
technician,married,no,no,aug,thu,nonexistent
technician,married,no,no,aug,thu,nonexistent
admin.,divorced,yes,no,aug,thu,nonexistent
technician,married,no,no,aug,thu,nonexistent
services,married,no,no,aug,thu,nonexistent
services,married,yes,no,aug,thu,nonexistent
admin.,single,yes,no,aug,thu,nonexistent
admin.,single,no,yes,aug,thu,nonexistent
admin.,single,yes,no,aug,thu,nonexistent
admin.,single,no,no,aug,thu,nonexistent
blue-collar,married,yes,no,aug,thu,nonexistent
admin.,married,no,yes,aug,thu,nonexistent
management,married,yes,no,aug,thu,nonexistent
technician,single,yes,no,aug,thu,nonexistent
admin.,married,no,no,aug,thu,nonexistent
admin.,married,yes,no,aug,thu,nonexistent
admin.,divorced,yes,no,aug,thu,nonexistent
services,married,yes,no,aug,thu,nonexistent
blue-collar,married,yes,yes,aug,thu,nonexistent
admin.,single,yes,no,aug,thu,nonexistent
blue-collar,single,yes,no,aug,thu,nonexistent
admin.,married,no,no,aug,thu,nonexistent
technician,single,no,no,aug,thu,nonexistent
technician,single,no,no,aug,thu,nonexistent
technician,married,yes,no,aug,thu,nonexistent
admin.,single,yes,no,aug,thu,nonexistent
unemployed,divorced,yes,no,aug,thu,nonexistent
admin.,single,yes,yes,aug,thu,nonexistent
unemployed,divorced,yes,no,aug,thu,nonexistent
technician,single,yes,no,aug,thu,nonexistent
admin.,married,yes,no,aug,thu,nonexistent
blue-collar,married,no,no,aug,thu,nonexistent
admin.,married,no,no,aug,thu,nonexistent
admin.,married,no,no,aug,thu,nonexistent
blue-collar,married,no,no,aug,thu,nonexistent
self-employed,married,no,no,aug,thu,nonexistent
admin.,married,no,no,aug,thu,nonexistent
admin.,married,yes,no,aug,thu,nonexistent
retired,married,yes,no,aug,thu,nonexistent
technician,divorced,yes,no,aug,thu,nonexistent
technician,single,no,no,aug,thu,nonexistent
admin.,married,no,no,aug,thu,nonexistent
housemaid,married,no,no,aug,thu,nonexistent
technician,married,yes,no,aug,thu,nonexistent
admin.,single,no,yes,aug,thu,nonexistent
retired,married,yes,no,aug,thu,nonexistent
admin.,married,yes,yes,aug,thu,nonexistent
services,married,yes,no,aug,thu,nonexistent
blue-collar,married,yes,no,aug,thu,nonexistent
blue-collar,married,yes,no,aug,thu,nonexistent
blue-collar,married,yes,no,aug,thu,nonexistent
admin.,married,no,no,aug,thu,nonexistent
services,married,no,yes,aug,thu,nonexistent
self-employed,married,yes,yes,aug,thu,nonexistent
admin.,married,no,no,aug,thu,nonexistent
services,single,yes,yes,aug,thu,nonexistent
technician,single,yes,no,aug,thu,nonexistent
technician,married,yes,no,aug,thu,nonexistent
admin.,married,yes,no,aug,thu,nonexistent
technician,married,yes,no,aug,thu,nonexistent
admin.,married,no,no,aug,thu,nonexistent
management,married,yes,no,aug,thu,nonexistent
admin.,single,yes,no,aug,thu,nonexistent
admin.,married,no,no,aug,thu,nonexistent
management,married,yes,no,aug,thu,nonexistent
management,married,no,no,aug,thu,nonexistent
self-employed,married,yes,yes,aug,thu,nonexistent
admin.,married,no,no,aug,thu,nonexistent
management,married,no,no,aug,thu,nonexistent
admin.,married,yes,no,aug,thu,nonexistent
admin.,married,no,no,aug,thu,nonexistent
services,married,yes,no,aug,thu,nonexistent
